,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
109,109,2020-06-04,87700.0,-1000.0,6678244,2736934,2031960,704974,866719,1508574,-641855,-63119,3074591,3137710,46.03891382225627,10.055024578833418,46.98405748577021,-13.502744727021653,-0.9451436635139416,10.556277967681325,-9.611134304167383
110,110,2020-06-03,88700.0,5400.0,11642239,4476574,1966468,2510106,2533409,1632103,901306,-3411412,4632256,8043668,39.78836029736205,-6.250553524894223,69.09038716693584,22.106329681165636,-29.3020268695738,21.56033731999489,7.741689549578909
111,111,2020-06-02,83300.0,-300.0,3114162,1103918,1093309,10609,333801,1008974,-675173,664564,1676443,1011879,53.83287703080315,14.0445167334411,32.49281829268997,-36.597568874245866,21.340058738113175,0.3406694963203584,-21.680728234433534
112,112,2020-06-01,83600.0,2100.0,4205357,1705217,868200,837017,1130621,919821,210800,-1047817,1369519,2417336,32.56605800649029,-21.266819024312845,57.48230174037543,24.989483447685462,-24.91624373388514,19.90358963579073,5.012654098094407
113,113,2020-05-29,81500.0,-2400.0,6815185,1388614,1494035,-105421,2028345,3947787,-1919442,2024863,3398226,1373363,49.86256425907734,17.296506252587044,20.1515145957153,-37.330787144660135,29.711049663362036,-1.5468545608079605,-28.164195102554075
114,114,2020-05-28,83900.0,2500.0,9227823,3297627,1354810,1942817,2334444,1246737,1087707,-3030524,3595752,6626276,38.966417106179854,-10.896147152897477,71.80757584968848,51.656061253973185,-32.84115874350863,21.053904046490704,11.787254697017922
115,115,2020-05-27,81400.0,-500.0,2946278,918864,969283,-50419,505229,731991,-226762,277181,1522185,1245004,51.664676585169495,12.698259478989627,42.25684066473021,-29.55073518495828,9.407835920439279,-1.7112777545092486,-7.696558165930031
116,116,2020-05-26,81900.0,500.0,3040122,1128557,1294312,-165755,503774,584644,-80870,246625,1407791,1161166,46.30705609840658,-5.3576204867629125,38.19471718569189,-4.06212347903832,8.112338912714687,-5.452248297930149,-2.6600906147845382
117,117,2020-05-25,81400.0,100.0,2850294,1019791,1245765,-225974,85626,896388,-810762,1036736,1744877,708141,61.21743932380309,14.910383225396517,24.84448972632297,-13.350227459368925,36.37294959748012,-7.928094435170547,-28.444855162309572
118,118,2020-05-22,81300.0,-2100.0,3471700,914007,1510858,-596851,283566,1095756,-812190,1409041,2274127,865086,65.50470950831006,4.2872701845069665,24.918224500964946,0.07373477464197364,40.586485007345104,-17.191894460926925,-23.394590546418183
119,119,2020-05-21,83400.0,-700.0,2678953,814618,1043750,-229132,724361,589044,135317,93815,1139974,1046159,42.5529675212667,-22.951741987043363,39.051039715889004,14.132815214924063,3.501927805377698,-8.553042923858687,5.051115118480989
120,120,2020-05-20,84100.0,1400.0,3924403,1176853,1012040,164813,2125648,824353,1301295,-1466108,621902,2088010,15.847047308851815,-26.705920212414885,53.20579971017247,14.154759994283467,-37.35875240132066,4.199696106643482,33.15905629467718
121,121,2020-05-19,82700.0,1600.0,4620614,1847585,1115764,731821,1236629,887292,349337,-1081158,1536400,2617558,33.250992184155606,17.403944875303797,56.64957081461468,3.443771104442206,-23.39857863045907,15.838176484770205,7.560402145688863
122,122,2020-05-18,81100.0,-800.0,5294177,1104169,1986434,-882265,1438289,1306144,132145,750120,2751719,2001599,51.976331732014245,18.725339547858628,37.807557246385976,-18.84201356822869,14.168774485628267,-16.66481872442119,2.4960442387929227
123,123,2020-05-15,81900.0,1300.0,4168866,1517302,986705,530597,1132077,1459596,-327519,-203078,1519487,1722565,36.4484490506531,-15.527882681361143,41.319749783274396,3.512192536888413,-4.871300732621293,12.727609858412336,-7.856309125791042
124,124,2020-05-14,80600.0,-3000.0,6409652,1241820,2280764,-1038944,522117,3078907,-2556790,3595734,4645715,1049981,72.47998799310791,36.031538942454794,16.381248155126052,-24.93850162814835,56.098739837981846,-16.20905471935138,-39.88968511863047
125,125,2020-05-13,83600.0,-2100.0,5371416,1608873,1924651,-315778,871305,2384108,-1512803,1828581,2891238,1062657,53.82636533830186,-18.653622654806046,19.783554280658954,3.402306125532906,34.0428110576429,-5.878859503713732,-28.16395155392917
126,126,2020-05-12,85700.0,1200.0,3574409,1937239,985583,951656,666995,665667,1328,-952984,970175,1923159,27.142249250155764,-26.684116088146094,53.80355185990189,34.01999757924293,-26.661302609746116,26.624149614663573,0.037152995082543716
127,127,2020-05-11,84500.0,-500.0,2800047,1081955,1189254,-107299,940175,694921,245254,-137955,777917,915872,27.78228365452437,0.6400344043686133,32.70916523901206,-21.09438662088982,-4.926881584487689,-3.8320428192812477,8.758924403768937
128,128,2020-05-08,85000.0,2600.0,5039635,1838120,1004771,833349,2111561,710971,1400590,-2233939,1089954,3323893,21.62763771582664,-6.154645938697731,65.95503444197843,33.24586920296637,-44.3273967261518,16.53589992132367,27.791496804828128
129,129,2020-05-07,82400.0,0.0,2660512,1297778,867504,430274,678386,753037,-74651,-355623,684348,1039971,25.72241733921892,4.094779623392276,39.08913021253052,-26.86590422944791,-13.366712873311602,16.17260136394799,-2.805888490636389
130,130,2020-05-06,82400.0,1400.0,3351424,1468182,905569,562613,892367,1163763,-271396,-291217,990875,1282092,29.56579054157277,3.84337320235386,38.255141694992936,-0.8339885175375841,-8.689351153420159,16.787282062788833,-8.097930909368674
131,131,2020-05-04,81000.0,-2700.0,5280026,1297892,2134271,-836379,1099054,2305150,-1206096,2042475,2883080,840605,54.603518997823116,25.03772845625034,15.920470846166287,-22.334670848826647,38.68304815165683,-15.840433361502386,-22.842614790154443
132,132,2020-04-29,83700.0,300.0,3750568,1702252,943045,759207,1001097,821275,179822,-939029,1047219,1986248,27.921610806683148,-26.681908191139964,52.95859187195114,37.038121025784854,-25.03698106526798,20.242453942976105,4.794527122291877
133,133,2020-04-28,83400.0,800.0,3205535,1440615,1051325,389290,857914,298732,559182,-948472,907006,1855478,28.29499599910779,0.3733851924246388,57.883567017674125,4.924975145722982,-29.588571018566324,12.144306644600666,17.444264373965655
134,134,2020-04-27,82600.0,1200.0,3235430,1265210,741525,523685,1098580,750847,347733,-871418,871640,1743058,26.940468500322986,-1.3545274987848082,53.87407547064842,-4.009491547025696,-26.933606970325428,16.18594746293383,10.7476595073916
135,135,2020-04-24,81400.0,-1200.0,3193144,454921,1111210,-656289,814232,708148,106084,550205,1923991,1373786,60.253812543374174,33.31334404305119,43.02298925447771,-10.851086216170707,17.23082328889646,-20.55306619432133,3.322242905424873
136,136,2020-04-23,82600.0,-1300.0,6519481,1242091,2537943,-1295852,1158793,1691049,-532256,1828108,4118597,2290489,63.17369434775559,2.9198818043814185,35.13299601609392,-7.889993238383795,28.040698331661677,-19.876612877620165,-8.16408545404151
137,137,2020-04-22,83900.0,2600.0,5335787,2114391,2101517,12874,1535780,1090915,444865,-457739,1685616,2143355,31.59076627309149,-31.58292807466411,40.16942580354126,5.0364297874473385,-8.578659530449773,0.2412764977312625,8.33738303271851
138,138,2020-04-21,81300.0,-700.0,5090721,1753655,1782289,-28634,1054879,1893360,-838481,867115,2282187,1415072,44.8303295348537,13.239563261762225,27.797084145841037,-12.372341657700224,17.033245389012677,-0.5624743528470721,-16.470771036165605
139,139,2020-04-20,82000.0,-2100.0,5027876,1241916,1611772,-369856,481688,1994301,-1512613,1882469,3304272,1421803,65.71904319040486,20.888713655551147,28.278402251765954,0.4813181059249203,37.4406409386389,-7.35610822542163,-30.08453271321727
140,140,2020-04-17,84100.0,2800.0,6205624,2248099,1289193,958906,1112130,1318932,-206802,-752104,2845395,3597499,45.85187565343953,-19.867167536965333,57.97159157564171,29.69318932387576,-12.119715922202182,15.452209157370797,-3.3324932351686147
141,141,2020-04-16,81300.0,-1000.0,4470072,1481148,1344592,136556,1165674,2268289,-1102615,966059,1823250,857191,40.78793361717664,-5.063942036262894,19.17622355971,-38.795368015931714,21.611710057466635,3.0548948652281216,-24.66660492269476
142,142,2020-04-14,82300.0,900.0,3344109,1422281,825182,597099,876934,887095,-10161,-586938,1044894,1631832,31.24581166463175,-9.542121952544887,48.797213248730834,29.620989689020828,-17.551401584099082,17.855249335473214,-0.30384775137413284
143,143,2020-04-13,81400.0,-2700.0,3615318,1018841,2031943,-1013102,290835,692709,-401874,1414976,2305642,890666,63.77425167025418,32.52844000562244,24.635896482688388,-24.161316766042447,39.13835518756579,-28.022486541986073,-11.115868645579726
144,144,2020-04-10,84100.0,-900.0,3675338,1310519,1932499,-621980,395466,624298,-228832,850812,1969353,1118541,53.582908565144216,-10.191343105109963,30.43369072449935,5.797794241810966,23.14921784064486,-16.923069388448084,-6.226148452196777
145,145,2020-04-09,85000.0,500.0,3555538,1428835,1691904,-263069,746667,803613,-56946,320015,1380036,1060021,38.813704142664214,-14.769204422480009,29.813237827861773,-0.6204528966375733,9.000466314802429,-7.3988521568325245,-1.601614157969905
146,146,2020-04-08,84500.0,-1300.0,3749575,1174029,1281444,-107415,1142892,987043,155849,-48434,1432654,1481088,38.20843695618837,-0.6052671864758352,39.50015668442424,9.686918856562462,-1.2917197282358668,-2.864724668795797,4.156444397031664
147,147,2020-04-07,85800.0,2700.0,6188649,1995250,1474610,520640,2258713,1640477,618236,-1138876,1934686,3073562,31.261847294942733,-6.946589661245646,49.66450674452535,10.1643500601011,-18.402659449582615,8.412821602905577,9.989837846677037
148,148,2020-04-06,83100.0,3500.0,5784159,2266060,1107851,1158209,1971387,2072370,-100983,-1057226,1546712,2603938,26.740482064894827,-4.521365230047898,45.018437425388896,-4.646069319136443,-18.277955360494065,20.023809857232486,-1.7458544967384195
149,149,2020-04-03,79600.0,-400.0,3755301,1201864,1528810,-326946,1064507,693747,370760,-43814,1488930,1532744,39.64875252343288,12.908270458538047,40.815476575646,-4.202960849742901,-1.1667240522131248,-8.706252840983986,9.87297689319711
