,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
147,147,2020-04-07,"49,600",900,31524034,13818156,12711964,1106192,6507427,5452715,1054712,-2160904,,,11198451,13359355,35.52353420250721,0.7637786872425849,42.378316810596,11.496277504732035,-6.8547826080888,3.509043290589015,3.3457393174997843
148,148,2020-04-06,"48,700","1,700",23395726,12123249,6142424,5980825,4526138,4766036,-239898,-5740927,,,6746339,12487266,28.835775389060373,-6.68775881344683,53.37413337803665,10.995816567440656,-24.538357988976276,25.56375040466793,-1.0253924156916523
149,149,2020-04-03,"47,000",200,22784682,9724428,10312344,-587916,6744753,6725491,19262,568654,,,6315501,5746847,27.718188035277386,-1.1175873537829908,25.222414778490208,-28.151718599546445,2.4957732567871695,-2.5803125099573476,0.0845392531701781
150,150,2020-04-02,"46,800","1,000",21621076,9842011,8496077,1345934,3932956,5440758,-1507802,161868,,,7846109,7684241,36.289169882201975,8.570981846924589,35.54051148980745,10.318096711317237,0.748658392394532,6.225101840444943,-6.973760232839476
151,151,2020-04-01,"45,800","-1,950",27259532,8949390,13604432,-4655042,4842970,7286451,-2443481,7098523,,,13467172,6368649,49.40353341355971,13.114363531357725,23.363016650469273,-12.177494839338177,26.04051676309043,-17.07674952013116,-8.96376724295927
152,152,2020-03-31,"47,750",-100,30654261,10811188,13812615,-3001427,9001485,9204136,-202651,3204078,,,10841588,7637510,35.36731157864155,-14.036221834918154,24.915002844139682,1.5519861936704054,10.45230873450187,-9.791222825433632,-0.6610859090682368
153,153,2020-03-30,"47,850",-450,26797395,12525328,12544154,-18826,4598853,5633049,-1034196,1053022,,,9673214,8620192,36.09759082925785,0.7302792506162916,32.168022302167806,7.253019458028127,3.92956852709004,-0.07025309736263544,-3.8593154297274044
154,154,2020-03-27,"48,300",500,39896178,17145659,16179095,966564,6132373,9245415,-3113042,2146478,,,16618146,14471668,41.65347868660503,5.555887857347179,36.27331921368508,4.105296911517272,5.380159472919937,2.422698234402303,-7.80285770732224
155,155,2020-03-26,"47,800",-850,42185129,15191243,18899191,-3707948,9361738,8809095,552643,3155305,,,17632148,14476843,41.7970702424544,0.1435915558493761,34.317408392895985,-1.9559108207890932,7.479661849558407,-8.789704068464506,1.3100422189060985
156,156,2020-03-25,"48,650","1,700",52735922,17523950,19219398,-1695448,7534954,10255254,-2720300,4415748,,,27677018,23261270,52.482287121101244,10.685216878646848,44.108966180585604,9.791557787689612,8.37332094051565,-3.2149774493370953,-5.158343491178556
157,157,2020-03-24,"46,950","4,450",49801908,19575238,16320914,3254324,10078776,7167814,2910962,-6165286,,,20147894,26313180,40.4560684703084,-12.026218650792842,52.83568653634716,8.726720355761564,-12.379618066038756,6.534536789233055,5.8450812768057
158,158,2020-03-23,"42,500","-2,900",41701626,14029123,17278114,-3248991,5770669,13878748,-8108079,11357070,,,21901834,10544764,52.52033577779437,12.064267307485972,25.286217856349296,-27.549468679997865,27.234117921445076,-7.791041529172028,-19.44307639227305
159,159,2020-03-20,"45,400","2,450",49730008,20147823,18478699,1669124,8548993,13678188,-5129195,3460071,,,21033192,17573121,42.2947689853579,-10.225566792436474,35.337056450905855,10.050838594556561,6.957712534452035,3.356371871084356,-10.314084405536391
160,160,2020-03-19,"42,950","-2,650",56925513,21441169,19828729,1612440,7933533,13717525,-5783992,4171552,,,27550811,23379259,48.3980021400949,6.103233154736997,41.0699135904142,5.73285713950834,7.328088549680703,2.832543643480209,-10.160632193160913
161,161,2020-03-18,"45,600","-1,700",40152623,10842188,16506126,-5663938,8218781,9363239,-1144458,6808396,,,21091654,14283258,52.528707775828245,4.1307056357333485,35.57241577966152,-5.497497810752677,16.956291996166726,-14.106022413529498,-2.850269582637229
162,162,2020-03-17,"47,300","-1,600",51218151,15784920,13296336,2488584,9432725,20876024,-11443299,8954715,,,26000506,17045791,50.76424176265169,-1.7644660131765593,33.280762126692146,-2.291653652969366,17.483479635959526,4.858793125897887,-22.342272761857412
163,163,2020-03-16,"48,900","-1,050",33339821,9340167,12617890,-3277723,4288960,8659561,-4370601,7648324,,,19710694,12062370,59.12057536241721,8.356333599765527,36.18006827331197,2.8993061466198142,22.940507089105246,-9.831255542733718,-13.10925154637153
164,164,2020-03-13,"49,950",-850,59462933,18257711,14220758,4036953,9511187,21372340,-11861153,7824200,,,31694035,23869835,53.300490576204844,-5.8200847862123775,40.142377437049724,3.9623091637377637,13.15811313915511,6.789024349000746,-19.947137488155857
165,165,2020-03-12,"50,800","-1,300",48149999,21240119,17749174,3490945,6858505,15967709,-9109204,5618259,,,20051375,14433116,41.64356265095665,-11.656927925248187,29.97531941797133,-10.1670580190784,11.668243232985322,7.250145529598038,-18.91838876258336
166,166,2020-03-11,"52,100","-2,500",45707281,10272886,13115780,-2842894,15162035,25457808,-10295773,13138667,,,20272360,7133693,44.352583563218296,2.709020912261643,15.60734492169858,-14.367974496272753,28.745238641519716,-6.219783670789781,-22.525454970729935
167,167,2020-03-10,"54,600",400,32106554,15124953,11233323,3891630,5972992,12438256,-6465264,2573634,,,11008609,8434975,34.287731408359804,-10.064852154858492,26.27181665151607,10.664471729817492,8.015914756843728,12.12098314879884,-20.136897905642567
