,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
30,30,2020-09-24,221000.0,-7000.0,481274,122098,192382,-70284,148387,149648,-1261,71545,210789,139244,43.79812747000668,11.872458237815465,28.932375320503496,1.3532308931103856,14.865752149503194,-14.60373924209494,-0.26201290740825395
31,31,2020-09-23,228000.0,-6000.0,411626,152441,182301,-29860,22398,73554,-51156,81016,236787,155771,57.52479192276485,13.72666445275815,37.842847633531406,8.910472313027919,19.68194428923343,-7.254157900618523,-12.427786388614908
32,32,2020-09-22,234000.0,-8500.0,408883,73941,165578,-91637,120671,73989,46682,44955,214271,169316,52.40398842700725,-5.120803495757599,41.409400733217076,3.5665530996856702,10.994587693790155,-22.411545601064365,11.416957907274208
33,33,2020-09-21,242500.0,2500.0,425049,185230,156226,29004,76081,56743,19338,-48342,163738,212080,38.52214685836221,-13.88184156864503,49.89542382172408,8.486023088506997,-11.37327696336187,6.823683857625826,4.549593105736045
34,34,2020-09-18,240000.0,-2000.0,465237,125968,141353,-15385,204603,165967,38636,-23251,134666,157917,28.94567714949585,-9.576469708866368,33.943345004804,-15.952078816920078,-4.997667855308155,-3.3069166897731694,8.304584545081324
35,35,2020-09-17,242000.0,-500.0,592993,206701,174145,32556,124701,91871,32830,-65386,261591,326977,44.11367419176954,15.1679970422737,55.1401112660689,21.196766261264894,-11.02643707429936,5.490115397652249,5.536321676647111
36,36,2020-09-16,242500.0,8500.0,658710,215338,159219,56119,210711,69836,140875,-196994,232661,429655,35.32070258535622,-8.792971606413317,65.22673103490155,10.08661976883265,-29.906028449545325,8.519530597683351,21.38649785186197
37,37,2020-09-15,234000.0,1500.0,306934,84157,111154,-26997,94991,44851,50140,-23143,127786,150929,41.6330546632175,6.31235207786127,49.173112134856346,-16.053618900045194,-7.540057471638854,-8.795702007597725,16.33575947923658
38,38,2020-09-14,232500.0,6500.0,417530,161295,128920,32375,59460,39216,20244,-52619,196775,249394,47.128350058678414,5.4952953954609205,59.73079778698537,10.557685652129017,-12.602447728306949,7.753933849064738,4.84851387924221
39,39,2020-09-11,226000.0,2000.0,236329,90582,82095,8487,35236,68299,-33063,24576,110511,85935,46.7615062053324,-0.3668438533460261,36.36244388119951,-23.36835390578586,10.399062324132883,3.5911800921596586,-13.990242416292542
40,40,2020-09-10,224000.0,500.0,335130,155839,198467,-42628,58677,61260,-2583,45211,120614,75403,35.99021275325993,-10.771293452072463,22.49962701041387,-13.862816870785641,13.49058574284606,-12.719840062065467,-0.7707456807805926
41,41,2020-09-09,223500.0,-2000.0,260718,77342,103445,-26103,56821,62473,-5652,31755,126555,94800,48.540952293282395,12.550739540022464,36.36112581409799,13.861498803684118,12.179826479184406,-10.011966952799577,-2.1678595263848295
42,42,2020-09-08,225500.0,0.0,279719,76243,113277,-37034,17950,49701,-31751,68785,185526,116741,66.32584844075662,17.78489614747422,41.73509843807536,5.373972623977367,24.59075000268126,-13.23971557169874,-11.351034430982521
43,43,2020-09-07,225500.0,-4500.0,272841,45942,82554,-36612,15477,80448,-64971,101583,211422,109839,77.48908705069985,11.163238609943237,40.25751261723861,-1.4775858208367438,37.23157443346125,-13.418804358582472,-23.812770074878774
44,44,2020-09-04,230000.0,-3500.0,442319,76649,186724,-110075,112227,64903,47324,62751,253443,190692,57.2986916682304,-20.190395382469454,43.11187174867008,2.8543591314314654,14.186819919560318,-24.885885526056985,10.699065606496669
45,45,2020-09-03,233500.0,-2000.0,425972,110871,118301,-7430,122542,175669,-53127,60557,192559,132002,45.20461438780014,-12.094077280430264,30.98842177420112,-12.123449974468956,14.216192613599016,-1.744246100682674,-12.471946512916341
46,46,2020-09-02,235500.0,-3000.0,564954,170458,137685,32773,115207,212558,-97351,64578,279289,214711,49.43570626989101,4.231091882090865,38.00504111839194,7.0166193441908264,11.43066515149906,5.801003267522666,-17.231668419021727
47,47,2020-09-01,238500.0,14500.0,915042,387291,174277,213014,163668,144912,18756,-231770,364083,595853,39.788665438307746,-9.647040831583249,65.11755744545059,27.112516327058643,-25.32889200714284,23.279150028086143,2.049741979056699
