,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
57,57,2020-08-18,158000.0,-9000.0,4328953,963794,792185,171609,429459,734644,-305185,133576,,2935700,2802124,67.81547408807627,9.291136985294685,64.72983190161685,2.175089411865059,3.085642186459405,3.964214903696113,-7.049857090155518
58,58,2020-08-14,167000.0,-3000.0,4469158,1284994,1518691,-233697,418949,408842,10107,223590,,2765215,2541625,61.873287988475674,-5.9421860996005895,56.87033217442748,-7.859499727189365,5.002955814048194,-5.229105795767346,0.22614998171915157
59,59,2020-08-13,170000.0,-2000.0,3997431,992121,1001438,-9317,156935,832416,-675481,684798,,2848375,2163577,71.25513861277405,9.381850624298368,54.12418625862461,-2.7461459158028774,17.130952354149453,-0.233074692221079,-16.897877661928373
60,60,2020-08-12,172000.0,-7000.0,4877139,1149116,1271291,-122175,214480,912194,-697714,819889,,3513543,2693654,72.04106751929768,0.7859289065236368,55.23020770988894,1.1060214512643327,16.810859809408754,-2.5050547052277987,-14.305805104180955
61,61,2020-08-11,179000.0,9000.0,6776406,1504917,1582625,-77708,274652,802062,-527410,605118,,4996837,4391719,73.73874882939424,1.6976813100965416,64.80897100911605,9.578763299227115,8.929777820278183,-1.146743568788529,-7.783034251489654
62,62,2020-08-10,170000.0,23000.0,8460795,1959909,2254899,-294990,472200,574567,-102367,397357,,6028686,5631329,71.25436794060133,-2.484380888792898,66.5579180207061,1.7489470115900474,4.696449919895234,-3.486551795664592,-1.2098981242306426
63,63,2020-08-07,147000.0,2500.0,3208082,940733,932210,8523,128531,465067,-336536,328013,,2138818,1810805,66.6696798897285,-4.5846880508728285,56.44509710163269,-10.112820919073407,10.224582788095816,0.26567276023493164,-10.490255548330747
64,64,2020-08-06,144500.0,10500.0,4040334,1173744,1068167,105577,341203,303514,37689,-143266,,2525387,2668653,62.50441176397793,-4.165268125750572,66.0503067320672,9.605209630434508,-3.545894968089272,2.6130760476732866,0.9328189204159855
65,65,2020-08-05,134000.0,1500.0,1859551,650635,582941,67694,221662,187988,33674,-101368,,987254,1088622,53.090988093362334,-9.413423670615598,58.54219647646125,-7.508110255605949,-5.451208383098931,3.6403411361129647,1.810867246985966
66,66,2020-08-04,132500.0,5500.0,2492506,828974,653997,174977,175665,323913,-148248,-26729,,1487867,1514596,59.69361758808203,6.602629494719706,60.76599213803296,2.223795661571714,-1.072374549950933,7.0201235222703575,-5.947748972319425
