날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,,
2020-03-11,170000,-2000,483822,174420,232231,-57811,231088,190496,40592,17219,,
2020-03-10,172000,4000,666532,294323,202959,91364,271287,310678,-39391,-51973,,
2020-03-09,168000,-11500,668089,232208,184001,48207,203269,397592,-194323,146116,,
2020-03-06,179500,-1500,293897,84221,141520,-57299,168834,100525,68309,-11010,,
2020-03-05,181000,2500,483840,109122,156375,-47253,303514,271249,32265,14988,,
2020-03-04,178500,3500,450252,136713,111308,25405,242703,244438,-1735,-23670,,
2020-03-03,175000,0,544379,171115,180631,-9516,225979,280291,-54312,63828,,
2020-03-02,175000,1000,659376,206487,144319,62168,339317,417312,-77995,15827,,
2020-02-28,174000,-8000,830654,261067,203694,57373,424488,492700,-68212,10839,,
2020-02-27,182000,-5000,535696,224351,179125,45226,181195,277784,-96589,51363,,
2020-02-26,187000,-3500,494066,210535,151466,59069,183799,284141,-100342,41273,,
2020-02-25,190500,6500,704859,235935,204296,31639,392722,300304,92418,-124057,,
2020-02-24,184000,-5500,567036,198723,158106,40617,285661,307745,-22084,-18533,,
2020-02-21,189500,-500,434019,125948,129544,-3596,248000,231910,16090,-12494,,
2020-02-20,190000,500,427402,171806,205611,-33805,121790,129737,-7947,41752,,
2020-02-19,189500,3000,560743,293958,93854,200104,154990,264379,-109389,-90715,,
2020-02-18,186500,-2000,345642,72897,142471,-69574,179722,148774,30948,38626,,
2020-02-17,188500,2000,312407,133439,81262,52177,85513,89945,-4432,-47745,,
2020-02-14,186500,2000,659429,182718,101764,80954,397421,430366,-32945,-48009,,
2020-02-13,184500,-500,555923,210958,240804,-29846,223967,238526,-14559,44405,,
2020-02-12,185000,500,351892,129673,121983,7690,158329,167264,-8935,1245,,
2020-02-11,184500,1000,400386,107439,65525,41914,235090,256424,-21334,-20580,,
2020-02-10,183500,-1500,433051,144040,74047,69993,182483,290267,-107784,37791,,
2020-02-07,185000,3500,728633,146086,162585,-16499,462630,374395,88235,-71736,,
2020-02-06,181500,0,659850,211064,90800,120264,241651,516800,-275149,154885,,
2020-02-05,181500,1000,653809,208561,230263,-21702,325551,314519,11032,10670,,
2020-02-04,180500,3000,563463,187472,210143,-22671,205027,223856,-18829,41500,,
2020-02-03,177500,-2000,485913,208521,106625,101896,186669,317552,-130883,28987,,
2020-01-31,179500,-500,537062,216198,120500,95698,255040,331804,-76764,-18934,,
2020-01-30,180000,0,772160,369921,271226,98695,250975,346202,-95227,-3468,,
2020-01-29,180000,1500,434897,130402,180821,-50419,201502,193750,7752,42667,,
2020-01-28,178500,-4500,476253,142003,137646,4357,193482,221304,-27822,23465,,
2020-01-23,183000,-3000,375929,90147,159224,-69077,173239,163207,10032,59045,,
2020-01-22,186000,4000,429852,142062,96780,45282,195076,205751,-10675,-34607,,
2020-01-21,182000,-5500,547678,86967,76885,10082,312347,289986,22361,-32443,,
2020-01-20,187500,-3500,454733,135152,142161,-7009,174999,255757,-80758,87767,,
2020-01-17,191000,-500,286019,74487,123136,-48649,150235,128043,22192,26457,,
2020-01-16,191500,0,245107,63540,98645,-35105,119827,113575,6252,28853,,
2020-01-15,191500,1000,323778,97577,129641,-32064,168877,146412,22465,9599,,
2020-01-14,190500,2500,501286,167931,150483,17448,232227,204890,27337,-44785,,
2020-01-13,188000,0,337749,87005,122767,-35762,195289,158188,37101,-1339,,
2020-01-10,188000,2000,398739,107785,172356,-64571,233263,128010,105253,-40682,,
2020-01-09,186000,3000,531355,156160,206000,-49840,270882,223015,47867,1973,,
2020-01-08,183000,-4000,820867,278797,361022,-82225,310956,326573,-15617,97842,,
2020-01-07,187000,6500,328624,136909,105983,30926,125686,76051,49635,-80561,,
2020-01-06,180500,-1000,287970,96303,145965,-49662,119331,95144,24187,25475,,
2020-01-03,181500,-1000,454492,99668,264574,-164906,202806,137600,65206,99700,,
2020-01-02,182500,-4000,300640,76903,167156,-90253,122003,99528,22475,67778,,
2019-12-30,186500,3000,376541,113824,90646,23178,160918,158953,1965,-25143,,
2019-12-27,183500,3000,323473,135144,166621,-31477,97810,86901,10909,20568,,
2019-12-26,180500,-1500,173426,91048,27769,63279,32588,47941,-15353,-47926,,
2019-12-24,182000,-2000,193440,85323,55178,30145,52471,91318,-38847,8702,,
2019-12-23,184000,500,250256,110930,68181,42749,85803,88215,-2412,-40337,,
2019-12-20,183500,4500,560761,144299,121541,22758,297316,238834,58482,-81240,,
2019-12-19,179000,500,296857,76983,103731,-26748,172837,138028,34809,-8061,,
2019-12-18,178500,-2000,310567,65370,118621,-53251,170171,134571,35600,17651,,
2019-12-17,180500,1000,370752,109812,120000,-10188,196540,115371,81169,-70981,,
2019-12-16,179500,4000,335819,134084,43276,90808,147061,118453,28608,-119416,,
2019-12-13,175500,0,317833,154411,129227,25184,107631,98697,8934,-34118,,
2019-12-12,175500,1500,609714,354850,403685,-48835,227070,102509,124561,-75726,,
2019-12-11,174000,-500,200711,111588,86063,25525,65704,65393,311,-25836,,
2019-12-10,174500,-500,215711,69189,52588,16601,117845,104868,12977,-29578,,
2019-12-09,175000,1000,271990,71940,74304,-2364,173822,104074,69748,-67384,,
2019-12-06,174000,3500,208849,103867,92287,11580,83174,40698,42476,-54056,,
2019-12-05,170500,-4000,271499,134145,101323,32822,76322,130850,-54528,21706,,
2019-12-04,174500,2500,228851,67216,69153,-1937,126139,70001,56138,-54201,,
2019-12-03,172000,500,245675,109659,95245,14414,92277,76250,16027,-30441,,
2019-12-02,171500,-500,275601,115780,71677,44103,116583,139579,-22996,-21107,,
2019-11-29,172000,-1000,349615,105806,104829,977,163199,186286,-23087,22110,,
2019-11-28,173000,500,252885,107822,102409,5413,91192,98615,-7423,2010,,
2019-11-27,172500,-500,299949,118732,107136,11596,135864,135079,785,-12381,,
2019-11-26,173000,-1000,774461,236221,109557,126664,456762,543755,-86993,-39671,,
2019-11-25,174000,6500,490795,205809,85170,120639,219299,267199,-47900,-72739,,
2019-11-22,167500,-2500,481529,162141,113133,49008,210949,258029,-47080,-1928,,
2019-11-21,170000,500,543754,145824,152127,-6303,280656,284008,-3352,9655,,
2019-11-20,169500,-1000,602206,184782,140618,44164,244208,335429,-91221,47057,,
2019-11-19,170500,-8000,1055749,360810,318257,42553,342563,557413,-214850,172297,,
2019-11-18,178500,5000,876975,247249,167075,80174,280452,305202,-24750,-55424,,
2019-11-15,173500,-6500,886846,400832,121451,279381,160929,534180,-373251,93870,,
2019-11-14,180000,22000,2042648,650428,539558,110870,796399,377561,418838,-529708,,
2019-11-13,158000,-4000,500221,177564,168791,8773,188513,228906,-40393,31620,,
2019-11-12,162000,-1000,236652,110318,57979,52339,76920,139807,-62887,10548,,
2019-11-11,163000,-500,231149,79290,86105,-6815,123678,94403,29275,-22460,,
합계,,,205436886,61325184,62405665,-1080481,64815443,70638378,-5822935,6903416,,
