날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,,
2019-12-26,"55,400",400,9645034,5251572,2295997,2955575,897946,1946540,-1048594,-1906981,,
2019-12-24,"55,000",-500,11868463,4924390,3533795,1390595,4681819,5694456,-1012637,-377958,,
2019-12-23,"55,500",-500,9839252,4737230,3691280,1045950,2923607,3153731,-230124,-815826,,
2019-12-20,"56,000",0,12095519,2741824,2882694,-140870,7207463,6758452,449011,-308141,,
2019-12-19,"56,000",-300,14180520,4375684,5436231,-1060547,6661094,5211671,1449423,-388876,,
2019-12-18,"56,300",-400,15558208,4412916,6078754,-1665838,8187130,6303450,1883680,-217842,,
2019-12-17,"56,700","2,000",19358433,6276350,6589026,-312676,10471597,4344116,6127481,-5814805,,
2019-12-16,"54,700",0,11512405,5441995,3093545,2348450,4821020,4888585,-67565,-2280885,,
2019-12-13,"54,700","1,400",18120261,7569213,5106749,2462464,8511010,3300961,5210049,-7672513,,
2019-12-12,"53,300","1,400",29178697,17546359,16164568,1381791,10636407,5090524,5545883,-6927674,,
2019-12-11,"51,900",400,11379521,5360738,4583015,777723,4988373,4528476,459897,-1237620,,
2019-12-10,"51,500",300,6882771,3042780,2218547,824233,3279623,3167771,111852,-936085,,
2019-12-09,"51,200",800,8470627,3244473,3131330,113143,4476082,3722280,753802,-866945,,
2019-12-06,"50,400",900,11414563,4587232,3300842,1286390,5532969,6104057,-571088,-715302,,
2019-12-05,"49,500",50,10449715,3608102,4022346,-414244,5005397,5403754,-398357,812601,,
2019-12-04,"49,450",-450,13246549,4538778,4391588,147190,5568569,7306678,-1738109,1590919,,
2019-12-03,"49,900",-500,12059812,4996217,3289254,1706963,4463260,7885236,-3421976,1715013,,
2019-12-02,"50,400",100,18877252,4568636,2162147,2406489,12846467,15671284,-2824817,418328,,
2019-11-29,"50,300","-1,000",11179334,3758668,4052427,-293759,3298981,6102819,-2803838,3097597,,
2019-11-28,"51,300",-900,6833885,2840069,2306947,533122,2022499,3640716,-1618217,1085095,,
2019-11-27,"52,200",400,7546261,3427885,2618110,809775,3021288,3593995,-572707,-237068,,
2019-11-26,"51,800",0,27372226,9927143,2955697,6971446,15052404,22552793,-7500389,528943,,
2019-11-25,"51,800",200,9050625,4992058,2556269,2435789,2640225,5254706,-2614481,178692,,
2019-11-22,"51,600",600,8478310,4082793,2045472,2037321,3070140,4955639,-1885499,-151822,,
2019-11-21,"51,000","-1,000",14298646,6018109,3849163,2168946,4623245,8129754,-3506509,1337563,,
2019-11-20,"52,000","-1,500",12560070,4336129,4114335,221794,4237192,7240785,-3003593,2781799,,
2019-11-19,"53,500",0,8907177,3435539,3909216,-473677,4125346,4045269,80077,393600,,
2019-11-18,"53,500",-200,7746554,3360950,2662433,698517,3046887,4222232,-1175345,476828,,
2019-11-15,"53,700",900,9703360,6036818,1722740,4314078,2947646,3089602,-141956,-4172122,,
2019-11-14,"52,800",300,12010018,8262702,6747016,1515686,2927089,4288924,-1361835,-153851,,
2019-11-13,"52,500",-100,6225196,2331779,3470119,-1138340,3008205,2237778,770427,367913,,
2019-11-12,"52,600","1,000",6576148,2865792,2558517,307275,3060693,2975661,85032,-392307,,
2019-11-11,"51,600",-500,8185952,3582483,3730550,-148067,3147085,3608134,-461049,609116,,
합계,,,5022103476,2099438215,2143352554,-43914339,1314942280,1404161516,-89219236,133133575,,
