,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
81,2020-07-14,287000.0,-10000.0,1360849,302105,507179,-205074,102675,344960,-242285,447359,,,956069,508710,70.25533325152166,20.051367716447118,37.381810913628186,-7.816810614726393
82,2020-07-13,297000.0,-2000.0,1254800,396882,394347,2535,131271,318109,-186838,184303,,,726647,542344,57.90938795027096,-12.345945301250701,43.221549250876635,5.839738337248448
83,2020-07-10,299000.0,11500.0,2120904,409920,496066,-86146,183726,436922,-253196,339342,,,1527258,1187916,72.00976564710142,14.100377696830456,56.0098901223252,12.788340871448568
84,2020-07-09,287500.0,5000.0,2006662,683980,612992,70988,216193,615293,-399100,328112,,,1106489,778377,55.140776074894525,-16.868989572206893,38.789641703485685,-17.220248418839518
85,2020-07-08,282500.0,3000.0,1353345,435183,430608,4575,293246,410124,-116878,112303,,,624916,512613,46.17566104725698,-8.965115027637545,37.877481351761745,-0.9121603517239407
86,2020-07-07,279500.0,-2000.0,1365047,409185,491920,-82735,268678,405070,-136392,219127,,,687184,468057,50.34141681568474,4.165755768427758,34.28870947300716,-3.588771878754585
87,2020-07-06,281500.0,4000.0,1211636,438950,329550,109400,298413,413779,-115366,5966,,,474273,468307,39.143191519565285,-11.198225296119453,38.65079941500583,4.3620899419986685
88,2020-07-03,277500.0,500.0,971940,292419,239004,53415,156342,316764,-160422,107007,,,523179,416172,53.828322735971355,14.68513121640607,42.81869251188345,4.16789309687762
89,2020-07-02,277000.0,8000.0,1015829,389021,186434,202587,309859,323890,-14031,-188556,,,316949,505505,31.201019069154356,-22.627303666817,49.762804566516614,6.944112054633166
90,2020-07-01,269000.0,2000.0,655711,232264,196802,35462,152452,191330,-38878,3416,,,270995,267579,41.32842059992893,10.127401530774577,40.80745938378341,-8.955345182733204
91,2020-06-30,267000.0,3000.0,862860,304536,268385,36151,238084,282402,-44318,8167,,,320240,312073,37.11378439144241,-4.2146362084865245,36.16728090304337,-4.64017848074004
92,2020-06-29,264000.0,-5000.0,814814,346298,381703,-35405,167100,163400,3700,31705,,,301416,269711,36.992000628364266,-0.12178376307814176,33.100928555474006,-3.0663523475693637
93,2020-06-26,269000.0,-500.0,937593,282642,313489,-30847,198845,284712,-85867,116714,,,456106,339392,48.64648093575784,11.654480307393577,36.198222469664344,3.097293914190338
94,2020-06-25,269500.0,-9500.0,1196267,233163,409336,-176173,173793,497838,-324045,500218,,,789311,289093,65.98117309931646,17.33469216355862,24.166260542169933,-12.031961927494411
95,2020-06-24,279000.0,3000.0,995065,264920,285505,-20585,216672,339746,-123074,143659,,,513473,369814,51.60195565113837,-14.379217448178096,37.164808329104126,12.998547786934193
96,2020-06-23,276000.0,6000.0,2104075,534832,592531,-57699,524904,713873,-188969,246668,,,1044339,797671,49.63411475351401,-1.967840897624356,37.910768389910054,0.7459600608059276
97,2020-06-22,270000.0,20500.0,1841479,458958,352047,106911,697014,583331,113683,-220594,,,685507,906101,37.22589288284037,-12.408221870673643,49.20506831736881,11.29429992745876
98,2020-06-19,249500.0,2000.0,919945,244727,263630,-18903,381332,370385,10947,7956,,,293886,285930,31.946040252406394,-5.279852630433975,31.081205941659558,-18.123862375709255
99,2020-06-18,247500.0,-3500.0,744330,234332,184367,49965,142184,274053,-131869,81904,,,367814,285910,49.41544744938401,17.469407196977617,38.41172598175541,7.330520040095852
100,2020-06-17,251000.0,7500.0,1357900,483094,328654,154440,294855,257175,37680,-192120,,,579951,772071,42.7094042271154,-6.706043222268612,56.857721481699684,18.445995499944274
101,2020-06-16,243500.0,12000.0,1155474,425424,216432,208992,388230,246273,141957,-350949,,,341820,692769,29.582664776533267,-13.126739450582132,59.9553949288344,3.097673447134717
102,2020-06-15,231500.0,-10500.0,1311773,382411,397069,-14658,312673,436502,-123829,138487,,,616689,478202,47.01186866935056,17.429203892817295,36.45463048865924,-23.50076444017516
103,2020-06-12,242000.0,1500.0,1318334,536632,256110,280522,157494,465559,-308065,27543,,,624208,596665,47.34824407168441,0.3363754023338501,45.25901630391084,8.8043858152516
104,2020-06-11,240500.0,-3500.0,1423978,504384,618833,-114449,302870,349974,-47104,161553,,,616724,455171,43.30993877714403,-4.038305294540379,31.964749455398888,-13.294266848511953
105,2020-06-10,244000.0,6500.0,1431071,557114,445668,111446,372268,274428,97840,-209286,,,501689,710975,35.05689095789098,-8.253047819253055,49.681322589864514,17.716573134465627
106,2020-06-09,237500.0,-3000.0,934440,291679,266992,24687,160377,308363,-147986,123299,,,482384,359085,51.62279012028594,16.565899162394963,38.42782843200205,-11.253494157862463
107,2020-06-08,240500.0,9500.0,1624752,451189,321236,129953,516148,320769,195379,-325332,,,657415,982747,40.462482889696396,-11.160307230589545,60.48596955104533,22.058141119043277
108,2020-06-05,231000.0,-1500.0,1061922,272108,227211,44897,267860,509876,-242016,197119,,,521954,324835,49.15182094353446,8.689338053838064,30.589346486841784,-29.896623064203546
109,2020-06-04,232500.0,7000.0,1052789,310525,301466,9059,392439,240915,151524,-160583,,,349825,510408,33.22840569192877,-15.92341525160569,48.481509590240776,17.892163103398993
110,2020-06-03,225500.0,-8500.0,1476614,333231,497582,-164351,227835,554278,-326443,490794,,,915548,424754,62.00320462896871,28.77479893703994,28.765405176979225,-19.71610441326155
111,2020-06-02,234000.0,-3000.0,689584,166238,233525,-67287,129379,250827,-121448,188735,,,393967,205232,57.13111093064804,-4.872093698320668,29.76171140861737,0.9963062316381439
112,2020-06-01,237000.0,11000.0,1140644,382992,235415,147577,384411,308045,76366,-223943,,,373241,597184,32.7219535630749,-24.409157367573144,52.35498542928381,22.59327402066644
113,2020-05-29,226000.0,-14500.0,3114298,499568,332750,166818,1628061,2352213,-724152,557334,,,986669,429335,31.68190712642143,-1.0400464366534692,13.78593185366333,-38.56905357562048
114,2020-05-28,240500.0,12000.0,1625154,456124,424932,31192,453768,322743,131025,-162217,,,715262,877479,44.01195209807809,12.330044971656662,53.99359076124478,40.207658907581454
115,2020-05-27,228500.0,-10500.0,1351505,245341,445364,-200023,250791,476922,-226131,426154,,,855373,429219,63.29040588085135,19.278453782773262,31.75859504774307,-22.23499571350171
116,2020-05-26,239000.0,-2000.0,1568016,396707,362679,34028,187524,546431,-358907,324879,,,983785,658906,62.74075009438679,-0.5496557864645624,42.02163753431088,10.263042486567805
117,2020-05-25,241000.0,10500.0,1015069,244099,275053,-30954,143106,236907,-93801,124755,,,627864,503109,61.85431729271607,-0.8864328016707219,49.564019785847066,7.542382251536189
118,2020-05-22,230500.0,5500.0,1108281,245842,252553,-6711,422178,428088,-5910,12621,,,440261,427640,39.724672713869495,-22.129644578846573,38.58588210029767,-10.978137685549399
119,2020-05-21,225000.0,3000.0,1004395,238586,276540,-37954,288426,394978,-106552,144506,,,477383,332877,47.52940825073801,7.804735536868513,33.14204073098731,-5.443841369310356
120,2020-05-20,222000.0,8500.0,977544,329584,202354,127230,250855,251076,-221,-127009,,,397105,524114,40.6227238876204,-6.906684363117606,53.615387133469184,20.473346402481873
121,2020-05-19,213500.0,-1500.0,917603,160257,270172,-109915,452184,398274,53910,56005,,,305162,249157,33.2564300683411,-7.366293819279299,27.153028052436618,-26.462359081032567
122,2020-05-18,215000.0,2000.0,638906,162344,153130,9214,229248,297338,-68090,58876,,,247314,188438,38.708980663822224,5.452550595481121,29.493853555922158,2.34082550348554
123,2020-05-15,213000.0,-6000.0,1050469,259930,266358,-6428,267501,475052,-207551,213979,,,523038,309059,49.79090292050503,11.081922256682809,29.421049074270634,-0.07280448165152364
124,2020-05-14,219000.0,500.0,866427,279708,302119,-22411,223742,271275,-47533,69944,,,362977,293033,41.89354671541861,-7.8973562050864246,33.82085276659199,4.399803692321356
