,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
44,2020-09-04,172500.0,-4000.0,2886867,648899,944090,-295191,272885,255732,17153,278038,,1965083,1687045,68.06974481332185,-2.437538018763888,58.43861182382146,0.0982179686842457
45,2020-09-03,176500.0,500.0,1841550,381389,493517,-112128,319445,371777,-52332,164460,,1140716,976256,61.94325432380332,-6.126490489518524,53.0127338383427,-5.425877985478763
46,2020-09-02,176000.0,-4000.0,2825239,668237,859756,-191519,234831,522809,-287978,479497,,1922171,1442674,68.0356953871867,6.092441063383383,51.06378610800715,-1.9489477303355471
47,2020-09-01,180000.0,3500.0,2704194,653513,690206,-36693,379237,288651,90586,-53893,,1671444,1725337,61.80932285183681,-6.2263725353498955,63.80226418666708,12.73847807865993
48,2020-08-31,176500.0,4500.0,5275614,1265543,962668,302875,932187,1501135,-568948,266073,,3077884,2811811,58.34172098261927,-3.467601869217539,53.29827011604715,-10.503994070619932
49,2020-08-28,172000.0,8500.0,5571784,1504633,1078484,426149,612285,298167,314118,-740267,,3454866,4195133,62.00645969046897,3.6647387078497005,75.29245570180035,21.9941855857532
50,2020-08-27,163500.0,-4000.0,2427108,488676,809357,-320681,138600,195549,-56949,377630,,1799832,1422202,74.15541459218132,12.148954901712344,58.596568426291704,-16.695887275508646
51,2020-08-26,167500.0,1500.0,2638394,640156,755594,-115438,216238,279091,-62853,178291,,1782000,1603709,67.54108749489272,-6.614327097288594,60.78352967752353,2.1869612512318284
52,2020-08-25,166000.0,4500.0,3304089,964798,762302,202496,311021,518601,-207580,5084,,2028270,2023186,61.386663615901384,-6.154423878991338,61.23279366869355,0.4492639911700209
53,2020-08-24,161500.0,5500.0,2904566,931720,768423,163297,255807,349780,-93973,-69324,,1717039,1786363,59.115165570346825,-2.2714980455545586,61.50189047176067,0.26909680306711437
54,2020-08-21,156000.0,1000.0,3348383,756623,686027,70596,419972,605367,-185395,114799,,2171788,2056989,64.86079997419651,5.745634403849685,61.43230926689092,-0.06958120486974906
55,2020-08-20,155000.0,-9500.0,3630223,724525,876430,-151905,167302,550325,-383023,534928,,2738396,2203468,75.43327228106924,10.572472306872726,60.69786897388948,-0.7344402930014411
56,2020-08-19,164500.0,6500.0,3298626,973161,916640,56521,394966,318539,76427,-132948,,1930499,2063447,58.52433710278159,-16.90893517828765,62.55474248975179,1.8568735158623113
57,2020-08-18,158000.0,-9000.0,4328953,963794,792185,171609,429459,734644,-305185,133576,,2935700,2802124,67.81547408807627,9.291136985294685,64.72983190161685,2.175089411865059
58,2020-08-14,167000.0,-3000.0,4469158,1284994,1518691,-233697,418949,408842,10107,223590,,2765215,2541625,61.87328798847568,-5.94218609960059,56.87033217442748,-7.859499727189366
59,2020-08-13,170000.0,-2000.0,3997431,992121,1001438,-9317,156935,832416,-675481,684798,,2848375,2163577,71.25513861277405,9.381850624298366,54.124186258624604,-2.7461459158028774
60,2020-08-12,172000.0,-7000.0,4877139,1149116,1271291,-122175,214480,912194,-697714,819889,,3513543,2693654,72.04106751929768,0.7859289065236368,55.23020770988894,1.1060214512643327
61,2020-08-11,179000.0,9000.0,6776406,1504917,1582625,-77708,274652,802062,-527410,605118,,4996837,4391719,73.73874882939423,1.6976813100965416,64.80897100911605,9.578763299227113
62,2020-08-10,170000.0,23000.0,8460795,1959909,2254899,-294990,472200,574567,-102367,397357,,6028686,5631329,71.25436794060133,-2.4843808887928986,66.5579180207061,1.7489470115900474
63,2020-08-07,147000.0,2500.0,3208082,940733,932210,8523,128531,465067,-336536,328013,,2138818,1810805,66.6696798897285,-4.584688050872828,56.44509710163269,-10.112820919073407
64,2020-08-06,144500.0,10500.0,4040334,1173744,1068167,105577,341203,303514,37689,-143266,,2525387,2668653,62.50441176397793,-4.165268125750572,66.0503067320672,9.605209630434508
65,2020-08-05,134000.0,1500.0,1859551,650635,582941,67694,221662,187988,33674,-101368,,987254,1088622,53.09098809336233,-9.4134236706156,58.54219647646125,-7.508110255605949
66,2020-08-04,132500.0,5500.0,2492506,828974,653997,174977,175665,323913,-148248,-26729,,1487867,1514596,59.693617588082034,6.602629494719707,60.76599213803296,2.223795661571714
67,2020-08-03,127000.0,500.0,1868315,824405,544658,279747,83830,357753,-273923,-5824,,960080,965904,51.387480162606415,-8.306137425475619,51.69920489853157,-9.066787239501394
68,2020-07-31,126500.0,-1000.0,1712713,465348,560860,-95512,281592,389658,-108066,203578,,965773,762195,56.38849007393533,5.001009911328914,44.50220206187493,-7.197002836656637
69,2020-07-30,127500.0,2500.0,2728427,975830,841520,134310,305705,288226,17479,-151789,,1446892,1598681,53.03026249190468,-3.3582275820306506,58.59350460906596,14.091302547191027
