,Unnamed: 0,Unnamed: 0.1,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
92,156,156,2020-03-25,"48,650","1,700",52735922,17523950,19219398,-1695448,7534954,10255254,-2720300,4415748,,,27677018,23261270,52.482287121101244,10.685216878646848,44.108966180585604,9.791557787689612,8.37332094051565,-3.2149774493370957,-5.158343491178557
93,155,155,2020-03-26,"47,800",-850,42185129,15191243,18899191,-3707948,9361738,8809095,552643,3155305,,,17632148,14476843,41.7970702424544,0.1435915558493761,34.317408392895985,-1.9559108207890927,7.479661849558407,-8.789704068464506,1.3100422189060985
94,154,154,2020-03-27,"48,300",500,39896178,17145659,16179095,966564,6132373,9245415,-3113042,2146478,,,16618146,14471668,41.65347868660503,5.555887857347178,36.27331921368508,4.105296911517272,5.380159472919936,2.422698234402303,-7.80285770732224
95,153,153,2020-03-30,"47,850",-450,26797395,12525328,12544154,-18826,4598853,5633049,-1034196,1053022,,,9673214,8620192,36.097590829257854,0.7302792506162916,32.168022302167806,7.253019458028128,3.92956852709004,-0.07025309736263544,-3.859315429727405
96,152,152,2020-03-31,"47,750",-100,30654261,10811188,13812615,-3001427,9001485,9204136,-202651,3204078,,,10841588,7637510,35.36731157864155,-14.036221834918154,24.915002844139682,1.5519861936704054,10.45230873450187,-9.791222825433634,-0.6610859090682368
97,151,151,2020-04-01,"45,800","-1,950",27259532,8949390,13604432,-4655042,4842970,7286451,-2443481,7098523,,,13467172,6368649,49.403533413559714,13.114363531357725,23.363016650469273,-12.177494839338177,26.04051676309043,-17.076749520131163,-8.96376724295927
98,150,150,2020-04-02,"46,800","1,000",21621076,9842011,8496077,1345934,3932956,5440758,-1507802,161868,,,7846109,7684241,36.289169882201975,8.570981846924589,35.54051148980745,10.318096711317237,0.7486583923945319,6.2251018404449425,-6.973760232839477
99,149,149,2020-04-03,"47,000",200,22784682,9724428,10312344,-587916,6744753,6725491,19262,568654,,,6315501,5746847,27.718188035277386,-1.1175873537829908,25.222414778490208,-28.151718599546445,2.495773256787169,-2.580312509957348,0.0845392531701781
100,148,148,2020-04-06,"48,700","1,700",23395726,12123249,6142424,5980825,4526138,4766036,-239898,-5740927,,,6746339,12487266,28.835775389060373,-6.68775881344683,53.37413337803665,10.995816567440656,-24.538357988976284,25.563750404667932,-1.0253924156916523
101,147,147,2020-04-07,"49,600",900,31524034,13818156,12711964,1106192,6507427,5452715,1054712,-2160904,,,11198451,13359355,35.52353420250721,0.7637786872425849,42.378316810596,11.496277504732035,-6.8547826080888,3.5090432905890148,3.3457393174997843
102,146,146,2020-04-08,"48,600","-1,000",25010314,9936297,12847816,-2911519,6380493,4438803,1941690,969829,,,8693524,7723695,34.75975551526462,6.4987620177227665,30.882039305863966,8.088876940803747,3.8777162094006496,-11.641273276297133,7.763557066896482
103,145,145,2020-04-09,"49,100",500,22628058,11523038,12859513,-1336475,4710106,4610895,99211,1237264,,,6394914,5157650,28.260993497541858,-7.441559168899867,22.793162365060226,-2.205207789147572,5.4678311324816296,-5.906273529968855,0.4384423974872258
104,144,144,2020-04-10,"49,250",150,17839111,6760668,9191763,-2431095,4709425,4187861,521564,1909531,,,6369018,4459487,35.702552666441726,-12.420314889926852,24.9983701542078,-0.5156128555345774,10.704182512233931,-13.627893228535886,2.9237107163019505
105,143,143,2020-04-13,"48,300",-950,14431800,6155374,9083047,-2927673,1331430,1666626,-335196,3262869,,,6944996,3682127,48.12286755636858,26.278922624093862,25.51398300974237,-18.302765940153925,22.6088845466262,-20.286263667733763,-2.322620878892446
106,142,142,2020-04-14,"49,000",700,14206216,7250899,4609532,2641367,3852119,3371982,480137,-3121504,,,3103198,6224702,21.843944932274717,3.5748792116848698,43.8167489498963,28.747463441180148,-21.97280401762158,18.593037019851028,3.3797669977705533
107,141,141,2020-04-16,"49,000",0,23349760,7541934,7219293,322641,11542043,12611825,-1069782,747141,,,4265783,3518642,18.269065720589847,-15.65450413023724,15.069285508716149,-42.14231157539384,3.199780211873698,1.3817743736980594,-4.581554585571758
108,140,140,2020-04-17,"51,400","2,400",32041675,10887353,8563576,2323777,10284642,5146545,5138097,-7461874,,,10869680,18331554,33.923569850827086,-9.600581454872989,57.21159708410999,35.676575744932904,-23.288027233282904,7.252358061805445,16.035669171477462
109,139,139,2020-04-20,"50,100","-1,300",21866354,7255381,10829161,-3573780,5093828,6328269,-1234441,4808221,,,9517145,4708924,43.52415130570007,-2.4955521022267177,21.535021339177078,-4.554201616707734,21.989129966523,-16.34373979310863,-5.64539017341437
110,138,138,2020-04-21,"49,250",-850,27407543,10395528,12071337,-1675809,4399145,8185791,-3786646,5462455,,,12612870,7150415,46.01970340792679,6.356675892522143,26.08922295588481,-4.018593454506924,19.93048045204198,-6.114407993449103,-13.816072458592878
111,137,137,2020-04-22,"49,850",600,18613864,7046805,9610308,-2563503,4184237,3399328,784909,1778594,,,7382822,5604228,39.66302751540465,12.837329368800232,30.10781641039173,4.3208108572539725,9.555211105012908,-13.772008863930669,4.216797758917761
112,136,136,2020-04-23,"49,850",0,18754442,9298199,8593761,704438,4425233,5324472,-899239,194801,,,5031010,4836209,26.82569814660441,-5.580324078410818,25.78700555313776,6.744702292747912,1.0386925934666569,3.756112818499212,-4.7948054119658705
113,135,135,2020-04-24,"49,350",-500,15618347,5413509,8131335,-2717826,5143553,4512919,630634,2087192,,,5061285,2974093,32.406022225015235,9.174314782080195,19.042303260389847,-18.136911529974856,13.363718964625384,-17.401495817707215,4.0377768530818265
114,134,134,2020-04-27,"49,850",500,14049471,7276381,5026355,2250026,3509158,3799633,-290475,-1959551,,,3263932,5223483,23.231707442935036,-5.066864092943007,37.1792147903647,10.853567318065323,-13.947507347429664,16.015022914385884,-2.067515566956222
115,133,133,2020-04-28,"50,100",250,16095399,6170738,7089274,-918536,5369893,4768907,600986,317550,,,4554768,4237218,28.298571535878054,2.8889165337065634,26.32564747229938,-2.262564683745275,1.9729240635786665,-5.706823422022654,3.733899358443988
116,132,132,2020-04-29,"50,000",-100,15604533,7501517,7112352,389165,4137958,4031124,106834,-495999,,,3965058,4461057,25.409655002171483,-28.2148795691434,28.58821215604465,17.053834946694874,-3.1785571538731725,2.49392275949559,0.6846343943775824
117,131,131,2020-05-04,"48,500","-1,500",26083749,5871802,10972059,-5100257,6224658,12103092,-5878434,10978691,,,13987289,3008598,53.624534571314875,24.38144545648648,11.534377209349776,-13.994214714657812,42.090157361965105,-19.553389353654644,-22.53676800831046
118,130,130,2020-05-06,"49,200",700,18070225,7246520,6246922,999598,5539413,7210229,-1670816,671218,,,5284292,4613074,29.2430891148284,1.2202799369669783,25.528591924007593,7.046209055911852,3.714497190820812,5.531740750322699,-9.24623794114351
119,129,129,2020-05-07,"48,800",-400,13884411,6667366,6566134,101232,3326243,4752107,-1425864,1324632,,,3890802,2566170,28.022809177861422,-3.801789215057504,18.482382868095733,-5.578499525162616,9.540426309765678,0.72910546943619,-10.269531779201868
120,128,128,2020-05-08,"48,800",0,15319700,6803516,5761273,1042243,3640751,5872372,-2231621,1189378,,,4875433,3686055,31.824598392918922,-9.560836015727801,24.060882393258357,0.6539796194465879,7.763715999660567,6.8032859651298665,-14.567001964790435
121,127,127,2020-05-11,"48,400",-400,16357743,6405224,8093736,-1688512,3182796,4435166,-1252370,2940882,,,6769723,3828841,41.38543440864672,-0.9128434053800588,23.406902773811765,3.5344589869229424,17.97853163483495,-10.322402057545471,-7.656129577289482
